# Ingredients per reference recipe, in grams of the RAW ingredient as bought.
#
# role:
#   MAIN          the substance of the dish
#   TEMPER        tadka or popu; poured in and eaten in full
#   ABSORBED_FAT  fat the finished dish RETAINS from frying. Never the frying bath.
#                 Its grams must equal absorbed_oil_g in recipes.csv, and the importer checks it.
#
# Water is not an ingredient row. Water gained or lost is stated once per recipe as
# water_change_g, so the arithmetic is visible rather than hidden in a rounding.
recipe_key,ingredient_key,grams,role,note
chapati,atta,205,MAIN,
chapati,salt,3,MAIN,
chapati_ghee,atta,205,MAIN,
chapati_ghee,salt,3,MAIN,
chapati_ghee,ghee,18,ABSORBED_FAT,smeared and eaten in full
poori,atta,180,MAIN,
poori,salt,3,MAIN,
poori,sooji,20,MAIN,
poori,groundnut_oil,28,ABSORBED_FAT,
plain_dosa,rice_raw,150,MAIN,
plain_dosa,urad_dal,50,MAIN,
plain_dosa,fenugreek_seed,3,MAIN,
plain_dosa,salt,4,MAIN,
plain_dosa,groundnut_oil,20,ABSORBED_FAT,
masala_dosa,rice_raw,150,MAIN,
masala_dosa,urad_dal,50,MAIN,
masala_dosa,fenugreek_seed,3,MAIN,
masala_dosa,salt,5,MAIN,
masala_dosa,potato,300,MAIN,
masala_dosa,onion,80,MAIN,
masala_dosa,green_chilli,10,MAIN,
masala_dosa,turmeric,2,MAIN,
masala_dosa,mustard_seed,3,TEMPER,
masala_dosa,groundnut_oil,20,ABSORBED_FAT,
idli,rice_raw,140,MAIN,
idli,urad_dal,50,MAIN,
idli,salt,4,MAIN,
pesarattu,moong_dal,180,MAIN,
pesarattu,rice_raw,30,MAIN,
pesarattu,green_chilli,12,MAIN,
pesarattu,ginger,8,MAIN,
pesarattu,salt,4,MAIN,
pesarattu,groundnut_oil,20,ABSORBED_FAT,
upma,sooji,200,MAIN,
upma,onion,80,MAIN,
upma,green_chilli,10,MAIN,
upma,mustard_seed,3,TEMPER,
upma,urad_dal,5,TEMPER,
upma,salt,4,MAIN,
upma,groundnut_oil,20,TEMPER,
pongal,rice_raw,150,MAIN,
pongal,moong_dal,75,MAIN,
pongal,black_pepper,4,MAIN,
pongal,cumin,4,MAIN,
pongal,ginger,8,MAIN,
pongal,cashew,20,MAIN,
pongal,salt,4,MAIN,
pongal,ghee,25,TEMPER,
poha_upma,poha,150,MAIN,
poha_upma,onion,60,MAIN,
poha_upma,potato,50,MAIN,
poha_upma,peanuts_raw,20,TEMPER,
poha_upma,mustard_seed,3,TEMPER,
poha_upma,turmeric,2,MAIN,
poha_upma,salt,3,MAIN,
poha_upma,groundnut_oil,15,TEMPER,
plain_vada,urad_dal,180,MAIN,
plain_vada,green_chilli,10,MAIN,
plain_vada,ginger,8,MAIN,
plain_vada,black_pepper,3,MAIN,
plain_vada,salt,4,MAIN,
plain_vada,groundnut_oil,35,ABSORBED_FAT,
mirchi_bajji,green_chilli,150,MAIN,
mirchi_bajji,besan,90,MAIN,
mirchi_bajji,rice_flour,20,MAIN,
mirchi_bajji,salt,4,MAIN,
mirchi_bajji,groundnut_oil,45,ABSORBED_FAT,
punugulu,rice_raw,90,MAIN,
punugulu,urad_dal,40,MAIN,
punugulu,onion,40,MAIN,
punugulu,green_chilli,8,MAIN,
punugulu,salt,3,MAIN,
punugulu,groundnut_oil,31,ABSORBED_FAT,
pakoda,onion,120,MAIN,
pakoda,besan,70,MAIN,
pakoda,rice_flour,15,MAIN,
pakoda,green_chilli,8,MAIN,
pakoda,salt,3,MAIN,
pakoda,groundnut_oil,39,ABSORBED_FAT,
samosa,atta,100,MAIN,
samosa,potato,130,MAIN,
samosa,green_peas,30,MAIN,
samosa,green_chilli,6,MAIN,
samosa,cumin,3,MAIN,
samosa,salt,3,MAIN,
samosa,groundnut_oil,35,ABSORBED_FAT,
sambar,toor_dal_raw,120,MAIN,
sambar,tomato,120,MAIN,
sambar,onion,80,MAIN,
sambar,drumstick_pod,100,MAIN,
sambar,bottle_gourd,80,MAIN,
sambar,tamarind,20,MAIN,
sambar,coriander_seed,8,MAIN,
sambar,red_chilli_powder,6,MAIN,
sambar,turmeric,2,MAIN,
sambar,mustard_seed,3,TEMPER,
sambar,fenugreek_seed,2,MAIN,
sambar,salt,5,MAIN,
sambar,groundnut_oil,15,TEMPER,
rasam,tomato,150,MAIN,
rasam,tamarind,25,MAIN,
rasam,toor_dal_raw,30,MAIN,
rasam,black_pepper,5,MAIN,
rasam,cumin,5,MAIN,
rasam,garlic,10,MAIN,
rasam,coriander_leaves,10,MAIN,
rasam,turmeric,2,MAIN,
rasam,mustard_seed,3,TEMPER,
rasam,salt,5,MAIN,
rasam,groundnut_oil,10,TEMPER,
toor_dal_tadka,toor_dal_raw,200,MAIN,
toor_dal_tadka,tomato,100,MAIN,
toor_dal_tadka,onion,60,MAIN,
toor_dal_tadka,green_chilli,12,MAIN,
toor_dal_tadka,garlic,10,MAIN,
toor_dal_tadka,turmeric,2,MAIN,
toor_dal_tadka,cumin,3,TEMPER,
toor_dal_tadka,mustard_seed,3,TEMPER,
toor_dal_tadka,salt,5,MAIN,
toor_dal_tadka,groundnut_oil,18,TEMPER,
sambar_rice,rice_raw,180,MAIN,
sambar_rice,toor_dal_raw,90,MAIN,
sambar_rice,tomato,100,MAIN,
sambar_rice,carrot,60,MAIN,
sambar_rice,green_peas,40,MAIN,
sambar_rice,tamarind,15,MAIN,
sambar_rice,red_chilli_powder,6,MAIN,
sambar_rice,turmeric,2,MAIN,
sambar_rice,mustard_seed,3,TEMPER,
sambar_rice,salt,5,MAIN,
sambar_rice,groundnut_oil,15,TEMPER,
curd_rice,rice_raw,150,MAIN,
curd_rice,curd,250,MAIN,
curd_rice,milk_whole,80,MAIN,
curd_rice,green_chilli,8,MAIN,
curd_rice,ginger,6,MAIN,
curd_rice,mustard_seed,3,TEMPER,
curd_rice,salt,4,MAIN,
curd_rice,groundnut_oil,8,TEMPER,
lemon_rice,rice_raw,200,MAIN,
lemon_rice,peanuts_raw,30,TEMPER,
lemon_rice,chana_dal,10,TEMPER,
lemon_rice,urad_dal,8,TEMPER,
lemon_rice,green_chilli,10,MAIN,
lemon_rice,mustard_seed,4,TEMPER,
