# Authored ingredient mapping: spoken name -> USDA FoodData Central record.
#
# Every fdc_id here was chosen deliberately per docs/decisions/0002-usda-import-rules.md.
# Rule 4 in that record is why several of these are the "unenriched" or "raw" variant rather
# than the obvious default: US fortification does not apply in India.
#
# aliases_roman : how people actually say it, including code-mixed speech. This is the column
#                 that matters most, because that is what the recogniser emits in practice.
# aliases_native: Telugu and Devanagari script. LEFT EMPTY where I am not confident. An empty
#                 cell is honest; a wrong one silently mismatches a food. Needs a native-speaker
#                 review pass before the event. Tracked in STATUS.md.
# band_reason   : extra confidence reason applied to every figure from this record, on top of
#                 the match and quantity reasons. Blank means no extra penalty.
#
key,"display_name",fdc_id,source,food_class,"aliases_roman","aliases_native",band_reason,"note"
rice_raw,"Rice, white, raw (unenriched)",169756,USDA_SR_LEGACY,GRAIN_RAW,"raw rice|biyyam|uncooked rice","",,"Unenriched deliberately. 168877 is enriched at Fe 4.31 and would attribute US fortification to Indian rice."
rice_cooked,"Rice, white, cooked (unenriched)",169757,USDA_SR_LEGACY,GRAIN_COOKED,"cooked rice|annam|bhaat|chawal|rice|saddi annam|white rice","అన్నం|चावल|రైస్|राइस",,"Unenriched twin of 169757. Default meal staple. te/hi aliases GENERATED, unreviewed: see log-words-review.md"
atta,"Wheat flour, whole-grain",168893,USDA_SR_LEGACY,GRAIN_RAW,"atta|wheat flour|gehu ka atta|godhuma pindi","गेहूं का आटा|గోధుమ పిండి",,"Roti and chapati resolve through this plus a recipe."
toor_dal_raw,"Pigeon peas (red gram), raw",172436,USDA_SR_LEGACY,PULSE_RAW,"toor dal|tur dal|arhar|kandi pappu|red gram|toovar","కంది పప్పు|अरहर दाल",,""
toor_dal_cooked,"Pigeon peas (red gram), cooked",172437,USDA_SR_LEGACY,PULSE_COOKED,"plain boiled toor dal|boiled pappu","",,"Plain 'dal' resolves here by default; a named dal overrides it."
chana_dal,"Chickpeas (bengal gram), raw",173756,USDA_SR_LEGACY,PULSE_RAW,"chana dal|bengal gram|senaga pappu","శనగ పప్పు|चना दाल",,"USDA's own description says bengal gram."
chana_dal_cooked,"Chickpeas (bengal gram), cooked",173757,USDA_SR_LEGACY,PULSE_COOKED,"cooked chana dal|chana","",,""
besan,"Chickpea flour (besan)",174288,USDA_SR_LEGACY,GRAIN_RAW,"besan|gram flour|senaga pindi|chickpea flour","बेसन|శనగ పిండి",,""
urad_dal,"Mungo beans (urad), raw",174259,USDA_SR_LEGACY,PULSE_RAW,"urad dal|urad|minapa pappu|black gram|uddina bele","మినప పప్పు|उड़द दाल",,"Filed under 'Mungo beans' in USDA. Vigna mungo. Easy to miss."
urad_dal_cooked,"Mungo beans (urad), cooked",172427,USDA_SR_LEGACY,PULSE_COOKED,"cooked urad dal","",,""
moong_dal,"Mung beans, raw",174256,USDA_SR_LEGACY,PULSE_RAW,"moong dal|mung|pesara pappu|green gram","పెసర పప్పు|मूंग दाल",,""
moong_dal_cooked,"Mung beans, cooked",174257,USDA_SR_LEGACY,PULSE_COOKED,"cooked moong dal","",,""
masoor_dal,"Lentils, pink or red, raw",174284,USDA_SR_LEGACY,PULSE_RAW,"masoor dal|red lentil|masoor|misur pappu","मसूर दाल",,""
ghee,"Butter, clarified (ghee)",171314,USDA_SR_LEGACY,FAT_OIL,"ghee|nei|neyyi|clarified butter|tuppa","నెయ్యి|घी",WEAK_SOURCE_RECORD,"15 of 18 values back-calculated from a retail label, no Mg, Zn or B12. Near pure fat, so energy is sound, which is what ghee contributes."
groundnut_oil,"Oil, peanut",171410,USDA_SR_LEGACY,FAT_OIL,"groundnut oil|peanut oil|palli nune|moongphali tel|oil|cooking oil|tel|nune","వేరుశెనగ నూనె|ఆయిల్|ఆయలు|तेल|ऑयल",,"SR record, not Foundation 1750348 which carries no energy, fat or protein at all. Also the default for an unqualified 'oil'. te/hi aliases GENERATED, unreviewed: see log-words-review.md"
sunflower_oil,"Oil, sunflower",171025,USDA_SR_LEGACY,FAT_OIL,"sunflower oil|surya mukhi|poddu tirugudu nune","सूरजमुखी तेल",,"SR record, not Foundation 1750349, same defect."
mustard_oil,"Oil, mustard",172337,USDA_SR_LEGACY,FAT_OIL,"mustard oil|sarson ka tel|avaalu nune","सरसों का तेल",,""
