# Household unit to grams, per food class. Spec 13.4.
#
# These are DEFAULTS. Every figure that uses one carries HOUSEHOLD_UNIT_DEFAULT, which caps it at
# Approximate, and the UI shows the assumed grams so the user can correct it. Quantity is never
# guessed: if the user gives no quantity at all, the system asks. This table only converts a
# quantity the user DID give.
#
# A katori of dal and a katori of rice are different weights, which is why food_class is part of
# the key rather than a single global table.
unit,food_class,grams,"note"
katori|కటోరీ|గిన్నె|ginne|कटोरी,PULSE_COOKED,150,"Standard small steel bowl, cooked dal."
katori|కటోరీ|గిన్నె|ginne|कटोरी,GRAIN_COOKED,150,"Cooked rice in the same bowl."
katori|కటోరీ|గిన్నె|ginne|कटोरी,VEGETABLE,100,"Cooked sabzi."
katori|కటోరీ|గిన్నె|ginne|कटोरी,DAIRY,150,"Curd."
bowl|బౌల్|कटोरा,PULSE_COOKED,200,"Larger than a katori."
bowl|బౌల్|कटोरा,GRAIN_COOKED,200,""
bowl|బౌల్|कटोरा,VEGETABLE,150,""
bowl|బౌల్|कटोरा,DAIRY,200,""
plate|ప్లేట్|ప్లేటు|प्लेट,GRAIN_COOKED,200,"A plate of rice."
plate|ప్లేట్|ప్లేటు|प्लेट,COMPOSED_DISH,350,"A full plate meal."
glass|glasu|గ్లాస్|గ్లాసు|गिलास|ग्लास,DAIRY,200,"A glass of milk."
glass|glasu|గ్లాస్|గ్లాసు|गिलास|ग्लास,BEVERAGE,200,""
cup|cups|కప్|కప్పు|కప్స్|కత్స్|कप,GRAIN_RAW,180,"Uncooked rice or flour by volume."
cup|cups|కప్|కప్పు|కప్స్|కత్స్|कप,PULSE_RAW,200,""
cup|cups|కప్|కప్పు|కప్స్|కత్స్|कप,DAIRY,240,""
spoon|spoons|స్పూన్|స్పూను|చెంచా|चम्मच,FAT_OIL,10,"A serving spoon of oil, not a teaspoon. This is the one that decides a meal's fat."
tablespoon|tbsp|టేబుల్ స్పూన్|बड़ा चम्मच,FAT_OIL,14,""
teaspoon|tsp|టీ స్పూన్|టీస్పూన్|छोटा चम्मच,FAT_OIL,5,""
teaspoon|tsp|టీ స్పూన్|టీస్పూన్|छोटा चम्मच,SPICE,2,""
tablespoon|tbsp|టేబుల్ స్పూన్|बड़ा चम्मच,SPICE,6,""
piece,COMPOSED_DISH,50,"One roti, one idli, one vada. Overridden per dish by a recipe where one exists."
cup|cups|కప్|కప్పు|కప్స్|కత్స్|कप,BEVERAGE,150,"A cup of tea or coffee. te/hi aliases GENERATED, unreviewed: see log-words-review.md"
slice|slices|స్లైస్|स्लाइस,GRAIN_COOKED,29,"One slice of sliced bread; USDA portion for 174924 is 29 g. te/hi aliases GENERATED, unreviewed: see log-words-review.md"
piece|pieces|biscuit|biscuits|ముక్క|టుకడా|टुकड़ा,PACKAGED,5.6,"One Marie biscuit; USDA 171867 gives 28 g for 5 cookies. A shipped default, shown for correction. te/hi aliases GENERATED, unreviewed: see log-words-review.md"
