# IN2FIT knowledge facts. docs/decisions/0015 and 0020.
#
# EVERY ROW CITES A REAL SOURCE THAT WAS READ ON THE DATE IN `accessed`. A fact without a source
# does not go in this file, and the loader refuses a row with a blank source. This is the same
# discipline as the food database: when someone asks how hallucination is handled, the answer is
# that every claim the model makes on the ANSWER and RECOMMEND paths traces to a row here or to a
# row in the database.
#
# fact       : the sentence handed to the model. English (see the KnowledgeFact doc for why no
#              language column). Every number in it is the number the app is then allowed to
#              say; the numeric guard permits nothing else. Where a figure is rounded, `note`
#              carries the exact source figure.
# tags       : retrieval keys, `|`-separated, matched as whole words in the request text.
#              Roman-script Telugu and Hindi food words are included where the food database
#              already uses them, so that what the recogniser emits can hit a row.
# source     : the citation as a reader would write it.  source_url : where it was read.
#
# WHAT IS DELIBERATELY NOT HERE.
#  - No diagnostic thresholds (haemoglobin cut-offs, glucose ranges). The reference range comes
#    from the person's own report, and a threshold row would let the model turn "below the
#    range printed on it" into a diagnosis.
#  - No composition values from IFCT 2017 or INDB, in any form (decision 0002). The ICMR-NIN
#    documents cited here are used for REQUIREMENTS, GUIDANCE and the glycaemic-index annexure
#    (which is from Devindra et al., not from the composition tables), never for a nutrient
#    content figure. The DGI's own nutrient tables cite IFCT 2017 and are not used.
#  - No per-100 g nutrient figures that the food database already carries for the eight
#    nutrients it tracks. Those come from the database, as figures, on the day; a row here
#    would be a second copy that could drift.
#  - No row that tells the person to take, stop or change a medicine or supplement.
#
# Sources on this date: ICMR-NIN RDA 2020 brief note; ICMR-NIN Dietary Guidelines for Indians
# 2024; WHO healthy-diet fact sheet; NIH/NCBI StatPearls (Dietary Iron); Linus Pauling Institute
# (iron, calcium, vitamin C, vitamin B12); Harvard Nutrition Source (iron, protein, GI, fibre,
# fats); Atkinson et al. 2008 GI tables; NHLBI DASH; USDA FoodData Central by fdcId.
id,topic,tags,fact,source,source_url,accessed,note
iron.haem_vs_nonhaem,iron,iron|haem|heme|absorption|anaemia|anemia|meat|chicken|fish|mutton|prawn,"Iron from meat, poultry and seafood (haem iron) is absorbed more readily than the iron in plant foods (non-haem iron): about 25% of dietary haem iron is absorbed, against 17% or less of non-haem iron.","StatPearls: Dietary Iron (Moustarah F, Daley SF), NCBI Bookshelf NBK540969, last update 8 January 2024",https://www.ncbi.nlm.nih.gov/books/NBK540969/,2026-09-20,Verbatim figures from the chapter.
iron.bioavailability_by_diet,iron,iron|vegetarian|vegan|absorption|bioavailability|anaemia|anemia,Overall iron bioavailability is estimated at 14% to 18% for people who eat animal products and as low as 5% to 12% for people on plant-based diets.,"StatPearls: Dietary Iron (Moustarah F, Daley SF), NCBI Bookshelf NBK540969, last update 8 January 2024",https://www.ncbi.nlm.nih.gov/books/NBK540969/,2026-09-20,
iron.haem_share,iron,iron|meat|haem|heme|chicken|fish|mutton,Haem iron is only 10% to 15% of the iron in a typical diet but can provide up to a third of the iron actually absorbed.,Linus Pauling Institute Micronutrient Information Center: Iron (reviewed May 2016),https://lpi.oregonstate.edu/mic/minerals/iron,2026-09-20,StatPearls gives the same share and says haem iron is about 40% of total iron absorbed in Western populations.
iron.plant_sources,iron,iron|dal|pulses|legumes|greens|palak|spinach|thotakura|nuts|seeds|whole grain|dried fruit|vegetarian|haemoglobin|hemoglobin|hb,"Plant foods that contain only non-haem iron include legumes, dark leafy greens, nuts, seeds, whole grains and dried fruits.","StatPearls: Dietary Iron (Moustarah F, Daley SF), NCBI Bookshelf NBK540969, last update 8 January 2024",https://www.ncbi.nlm.nih.gov/books/NBK540969/,2026-09-20,
iron.sources_india,iron,iron|sources|greens|palakura|pulses|dal|dry fruits|egg|meat|fish|anaemia|anemia|haemoglobin|hemoglobin|hb,"Plant foods like green leafy vegetables, pulses and dry fruits contain iron; iron is also obtained through meat, fish, eggs and poultry.","ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,"Guideline text, 'Eat iron-rich foods'."
iron.vitc_enhances,iron,iron|vitamin c|absorption|lemon|nimmakaya|nimbu|guava|orange|amla|tomato|anaemia|anemia|haemoglobin|hemoglobin|hb,"Vitamin C strongly enhances the absorption of non-haem iron, by reducing dietary ferric iron to the ferrous form, which is more soluble.",Linus Pauling Institute Micronutrient Information Center: Iron (reviewed May 2016),https://lpi.oregonstate.edu/mic/minerals/iron,2026-09-20,StatPearls states the same mechanism.
iron.vitc_counters_inhibitors,iron,iron|vitamin c|phytate|tea|coffee|calcium|dairy|absorption,"Vitamin C also counteracts the inhibitors of iron absorption: phytates in grains and legumes, polyphenols in tea, coffee and red wine, and calcium in dairy products.","StatPearls: Dietary Iron (Moustarah F, Daley SF), NCBI Bookshelf NBK540969, last update 8 January 2024",https://www.ncbi.nlm.nih.gov/books/NBK540969/,2026-09-20,
iron.vitc_indian_foods,iron,guava|jama|pineapple|lemon|nimmakaya|orange|citrus|chutney|coriander|kothimira|green chilli|iron|vitamin c|absorption|haemoglobin|hemoglobin|hb,"Vitamin C-rich fruits like guava, pineapple and citrus fruits, or chutneys made with coriander and green chillies, improve iron absorption from plant foods when eaten as part of a regular meal.","ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,
iron.meat_factor,iron,iron|chicken|fish|meat|mutton|absorption|anaemia|anemia|haemoglobin|hemoglobin|hb,"Adding chicken, beef or fish to a meal increased the absorption of non-haem iron from that meal 2 to 3 fold in one study.","StatPearls: Dietary Iron (Moustarah F, Daley SF), NCBI Bookshelf NBK540969, last update 8 January 2024",https://www.ncbi.nlm.nih.gov/books/NBK540969/,2026-09-20,
iron.phytate,iron,iron|phytate|phytic acid|absorption|whole grain|atta|dal|pulses,Small amounts of phytic acid (5 to 10 mg) can reduce non-haem iron absorption by 50%; phytic acid is found in grains and legumes.,Linus Pauling Institute Micronutrient Information Center: Iron (reviewed May 2016),https://lpi.oregonstate.edu/mic/minerals/iron,2026-09-20,The 5 to 10 mg and 50% figures are LPI's; the location in grains and legumes is StatPearls'.
