# THE RULE (standing, ruled by Vedant on 20 September 2026): every new dish alias is asked two
# questions before it is added, and the answers go in this file:
#   1. What does the name CONTAIN? If it contains an ingredient's name, it collapses onto that
#      ingredient through containment unless a recipe or a no-data row holds it.
#   2. What happens if the dish is NOT in the tables? The answer must be a refusal by name, a
#      recipe, or an honest miss; never a base ingredient's figures under the dish's name.
# A dish alias that is not in this file has not been asked, and does not ship.
#
# Qualified dish names, swept for the bug class found in 0026: a dish name that CONTAINS a base
# ingredient's name collapses onto that ingredient through the matcher's containment stage, and
# the oil, the other ingredients and the dish's own figures are silently dropped. "fried rice"
# resolved to plain cooked rice. This file is every such name the sweep tried, with what each
# must do. docs/decisions/0034.
#
# AUTHORED, by one hand, from the dishes a demo speaker plausibly names: the utterance set's
# dishes, Jacob's code-mix list, and the common canteen and home plates. It is the regression
# guard for the class, not a census of Indian food.
#
# expect:
#   <recipe_key>    a recipe exists and the name must resolve to it, never to an ingredient
#   <food_key>      the qualifier is a cooking method on ONE food and resolving to that food is
#                   right (the extraction carries the method separately): boiled egg -> egg
#   NODATA:<key>    a composed dish with no recipe: refused BY NAME, never fuzzy, never an ingredient
#   MISS            no recipe and no ingredient name inside it: an honest miss is fine
#
# base: the ingredient the name contains, which is what it would collapse onto.
utterance,base,expect,note
fried rice,rice,NODATA:fried_rice,the one 0026 found
egg fried rice,rice,NODATA:fried_rice,
chicken fried rice,rice,NODATA:fried_rice,
veg fried rice,rice,NODATA:fried_rice,
jeera rice,rice,jeera_rice,authored in the sweep; resolved to cumin before
ghee rice,rice,ghee_rice,authored in the sweep; resolved to ghee before
coconut rice,rice,coconut_rice,authored in the sweep; resolved to coconut before
tomato rice,rice,tomato_rice,authored in the sweep; resolved to tomato before
curd rice,rice,curd_rice,recipe exists
lemon rice,rice,lemon_rice,recipe exists
sambar rice,rice,sambar_rice,recipe exists
rasam rice,rice,NODATA:rasam_rice,rasam and rice exist separately; the mixed plate does not
veg pulao,rice,NODATA:pulao,
chicken pulao,rice,NODATA:pulao,
egg biryani,rice,NODATA:egg_biryani,
mutton biryani,rice,NODATA:mutton_biryani,
chicken biryani,rice,chicken_biryani,recipe exists
veg biryani,rice,veg_biryani,recipe exists
butter chicken,chicken,NODATA:butter_chicken,cream and butter gravy; none of it is chicken breast
chilli chicken,chicken,NODATA:chilli_chicken,deep fried and sauced
chicken 65,chicken,NODATA:chicken_65,deep fried
chicken tikka,chicken,NODATA:chicken_tikka,
tandoori chicken,chicken,NODATA:tandoori_chicken,
chicken curry,chicken,chicken_curry,recipe exists
