# Spec 4.3: the constrained candidate list per life context. THE RULE: a food or recipe that is
# not in this file, or is in it with no context, is an INGREDIENT, not a candidate: the engine
# never ranks it and the model never names it. Raw grains and pulses are ingredients, not
# candidates (Vedant, 20 September 2026): the ranked list for anaemia once topped out at raw
# cowpea, raw urad and raw masoor, because a raw pulse's "serving" is a 200 g cup, and before
# that at cumin, turmeric and bay leaf per 100 g.
#
# AUTHORED, by one hand, from the spec 4.2 table: budget reality, kitchen access and schedule
# per context. A row's contexts are where the food is AVAILABLE, not where it is good for
# you: merit is the rules engine's ranking, availability is this file. Fried snacks, sweets,
# fats, biscuits and spices are listed with no context so the sweep is complete and the reason
# is recorded.
#
# key         food_key or recipe_key; must exist
# suggest_as  the name the suggestion shows ("Boiled egg", not "Egg, whole, raw"); empty = the display name
# serving_g   what one helping weighs when SUGGESTED; empty = the class's usual unit (a food) or
#             the recipe's serving. Given where the class unit is wrong for a suggestion: a
#             handful of peanuts is 30 g, not the spice-class teaspoon; a glass of milk is 200.
# contexts    '|'-separated LifeContext names, or empty for "never a candidate"
# note        why, in one line, per row. A row without a reason does not ship.
key,suggest_as,serving_g,contexts,note
egg,Boiled egg,,HOSTEL_STUDENT|PG_OWN_COOKING|FIELD_OR_MANUAL_WORKER|DESK_PROFESSIONAL|HOMEMAKER,Spec 4.2's own hostel example. One egg is the 50 g piece; the canteen boils them.
curd,Curd,,HOSTEL_STUDENT|PG_OWN_COOKING|FIELD_OR_MANUAL_WORKER|DESK_PROFESSIONAL|HOMEMAKER,Spec 4.2's own PG example: add curd to lunch for protein. Sold everywhere; a katori.
milk_whole,Milk,200,HOSTEL_STUDENT|PG_OWN_COOKING|FIELD_OR_MANUAL_WORKER|DESK_PROFESSIONAL|HOMEMAKER,"A glass, 200 ml, not the dairy katori. Every mess and shop."
chaas,Chaas (buttermilk),,HOSTEL_STUDENT|PG_OWN_COOKING|FIELD_OR_MANUAL_WORKER|DESK_PROFESSIONAL|HOMEMAKER,"A glass. Cheap, sold at stalls, holds a morning without a fridge. The recipe, since the US-record sweep: curd thinned with water."
cheese_processed,Processed cheese,20,DESK_PROFESSIONAL|HOMEMAKER,A slice. Fridge and a moderate budget; not a canteen or tiffin food.
banana,Banana,100,HOSTEL_STUDENT|PG_OWN_COOKING|FIELD_OR_MANUAL_WORKER|DESK_PROFESSIONAL|HOMEMAKER,One banana; the cheapest fruit at every canteen and stall.
apple,Apple,150,PG_OWN_COOKING|DESK_PROFESSIONAL|HOMEMAKER,One apple. Moderate price; not a canteen fruit.
peanuts_roasted,Roasted peanuts,30,HOSTEL_STUDENT|PG_OWN_COOKING|FIELD_OR_MANUAL_WORKER|DESK_PROFESSIONAL|HOMEMAKER,"A handful, 30 g, not the spice-class teaspoon. Sold in paper cones at every corner."
sprouted_moong,,,,"Classed PULSE_RAW, so the rule keeps it out; the sprouts salad recipe is the candidate, with the dressing that makes it a helping."
tea_brewed,,,,"Black tea has nothing of the eight nutrients, so under any 'lower' preference it scores as the best food there is. Not a suggestion; the chai recipe is the cup people drink."
coffee_brewed,,,,"Same as black tea: nothing of the eight, so it wins every 'lower' preference. Not a suggestion; coffee_milk is the cup."
water,,,,"""You should drink more water"" as our answer to an iron question ends the pitch more efficiently than a crash would (Vedant, 20 Sep). Water scores as the best food under any 'lower' preference because it has nothing of anything; it is not a suggestion."
orange_juice,Orange juice,200,DESK_PROFESSIONAL|HOMEMAKER,A glass. Packaged juice is a moderate-budget item.
mango_juice,Mango juice,200,DESK_PROFESSIONAL|HOMEMAKER,A glass. Packaged; moderate budget.
rice_cooked,Cooked rice,,HOSTEL_STUDENT|PG_OWN_COOKING|FIELD_OR_MANUAL_WORKER|DESK_PROFESSIONAL|HOMEMAKER,A katori of plain rice; on every plate in every context.
bread_brown,Brown bread,29,HOSTEL_STUDENT|PG_OWN_COOKING|FIELD_OR_MANUAL_WORKER|DESK_PROFESSIONAL|HOMEMAKER,"A slice, 29 g, not the grain-class katori (150 g of bread is five slices). Sold at the tuck shop and every general store."
bread_white,White bread,29,HOSTEL_STUDENT|PG_OWN_COOKING|FIELD_OR_MANUAL_WORKER|DESK_PROFESSIONAL|HOMEMAKER,"A slice, 29 g. As a 150 g katori it topped the iron list: the US record is iron-ENRICHED flour (3.6 mg per 100 g) and Indian bread is not; a slice puts it where it belongs, and the enrichment is a disclosure for the about screen, like milk's vitamin D."
chana_dal_cooked,Cooked chana dal,,HOSTEL_STUDENT|PG_OWN_COOKING|FIELD_OR_MANUAL_WORKER|DESK_PROFESSIONAL|HOMEMAKER,"A katori, cooked. Mess dal or home dal."
moong_dal_cooked,Cooked moong dal,,HOSTEL_STUDENT|PG_OWN_COOKING|FIELD_OR_MANUAL_WORKER|DESK_PROFESSIONAL|HOMEMAKER,"A katori, cooked."
toor_dal_cooked,Cooked toor dal,,HOSTEL_STUDENT|PG_OWN_COOKING|FIELD_OR_MANUAL_WORKER|DESK_PROFESSIONAL|HOMEMAKER,"A katori, cooked; the plain dal under sambar and tadka."
urad_dal_cooked,Cooked urad dal,,PG_OWN_COOKING|DESK_PROFESSIONAL|HOMEMAKER,"A katori, cooked. A home dal; the mess serves it as idli and vada."
carrot,Carrot,100,HOSTEL_STUDENT|PG_OWN_COOKING|FIELD_OR_MANUAL_WORKER|DESK_PROFESSIONAL|HOMEMAKER,"Eaten raw as salad with a mess plate, or cooked at home. A katori, 100 g."
tomato,Tomato,100,HOSTEL_STUDENT|PG_OWN_COOKING|FIELD_OR_MANUAL_WORKER|DESK_PROFESSIONAL|HOMEMAKER,"Eaten raw as salad with a mess plate, or cooked at home. A katori, 100 g."
onion,Onion,100,HOSTEL_STUDENT|PG_OWN_COOKING|FIELD_OR_MANUAL_WORKER|DESK_PROFESSIONAL|HOMEMAKER,"Eaten raw as salad with a mess plate, or cooked at home. A katori, 100 g."
beetroot,Beetroot,100,HOSTEL_STUDENT|PG_OWN_COOKING|FIELD_OR_MANUAL_WORKER|DESK_PROFESSIONAL|HOMEMAKER,"Eaten raw as salad with a mess plate, or cooked at home. A katori, 100 g."
cabbage,Cabbage,100,PG_OWN_COOKING|DESK_PROFESSIONAL|HOMEMAKER,"Needs cooking: a kitchen context. A katori of the cooked vegetable, taken as 100 g of the raw entry."
cauliflower,Cauliflower,100,PG_OWN_COOKING|DESK_PROFESSIONAL|HOMEMAKER,"Needs cooking: a kitchen context. A katori of the cooked vegetable, taken as 100 g of the raw entry."
brinjal,Brinjal,100,PG_OWN_COOKING|DESK_PROFESSIONAL|HOMEMAKER,"Needs cooking: a kitchen context. A katori of the cooked vegetable, taken as 100 g of the raw entry."
okra,Okra (bendakaya),100,PG_OWN_COOKING|DESK_PROFESSIONAL|HOMEMAKER,"Needs cooking: a kitchen context. A katori of the cooked vegetable, taken as 100 g of the raw entry."
bottle_gourd,Bottle gourd (sorakaya),100,PG_OWN_COOKING|DESK_PROFESSIONAL|HOMEMAKER,"Needs cooking: a kitchen context. A katori of the cooked vegetable, taken as 100 g of the raw entry."
ridge_gourd,Ridge gourd (beerakaya),100,PG_OWN_COOKING|DESK_PROFESSIONAL|HOMEMAKER,"Needs cooking: a kitchen context. A katori of the cooked vegetable, taken as 100 g of the raw entry."
ash_gourd,Ash gourd,100,PG_OWN_COOKING|DESK_PROFESSIONAL|HOMEMAKER,"Needs cooking: a kitchen context. A katori of the cooked vegetable, taken as 100 g of the raw entry."
bitter_gourd,Bitter gourd (kakarakaya),100,PG_OWN_COOKING|DESK_PROFESSIONAL|HOMEMAKER,"Needs cooking: a kitchen context. A katori of the cooked vegetable, taken as 100 g of the raw entry."
french_beans,French beans,100,PG_OWN_COOKING|DESK_PROFESSIONAL|HOMEMAKER,"Needs cooking: a kitchen context. A katori of the cooked vegetable, taken as 100 g of the raw entry."
green_peas,Green peas,100,PG_OWN_COOKING|DESK_PROFESSIONAL|HOMEMAKER,"Needs cooking: a kitchen context. A katori of the cooked vegetable, taken as 100 g of the raw entry."
potato,Potato,100,PG_OWN_COOKING|DESK_PROFESSIONAL|HOMEMAKER,"Needs cooking: a kitchen context. A katori of the cooked vegetable, taken as 100 g of the raw entry."
colocasia,Colocasia (chamagadda),100,PG_OWN_COOKING|DESK_PROFESSIONAL|HOMEMAKER,"Needs cooking: a kitchen context. A katori of the cooked vegetable, taken as 100 g of the raw entry."
